feature_id,canonical_name_en,scope_role,final_role,dimension_id,dimension_role,tier
EF0377,SCOTI score,t0_substantive,,CD056,t0_potential,source_only
EF0378,Search-method reporting quality,t0_substantive,,CD059,t0_potential,broad_t0_only
EF0379,Selection-bias risk,t0_substantive,,CD050,sensitivity,excluded
EF0380,Shared-data content,t0_substantive,,CD017,context_control,excluded
EF0381,Social-network-analysis measures,t0_opportunity,,CD015,opportunity,source_only
EF0382,Socioeconomic-benefit quantification,t0_substantive,,CD019,t0_potential,excluded
EF0383,Species-interaction reporting completeness,t0_substantive,,CD047,t0_potential,broad_t0_only
EF0384,Spin bias,t0_substantive,,CD011,sensitivity,excluded
EF0385,Statistical-analysis and reporting error burden,t0_substantive,,CD055,sensitivity,excluded
EF0386,Statistical-analysis validity,t0_substantive,,CD055,sensitivity,excluded
EF0387,Statistical power,t0_substantive,,CD055,sensitivity,excluded
EF0388,Statistical precision,t0_substantive,,CD055,sensitivity,broad_t0_only
EF0389,Statistical significance of results,t0_substantive,,CD055,sensitivity,source_only
EF0390,Study design,context_control,,CD057,context_control,source_only
EF0391,Study-design adjustment covariate,context_control,,CD057,context_control,source_only
EF0392,Study design and quality,t0_substantive,,CD056,t0_potential,broad_t0_only
EF0393,Study geographic region,context_control,,CD057,context_control,source_only
EF0394,Study measurement-tool type,t0_substantive,,CD033,sensitivity,excluded
EF0395,Study quality,t0_substantive,,CD025,t0_potential,excluded
EF0396,Study sample characteristics,t0_substantive,,CD051,t0_potential,source_only
EF0397,Study sample size,t0_substantive,,CD051,t0_potential,source_only
EF0398,Study sampling location,t0_substantive,,CD051,t0_potential,source_only
EF0399,Study-site environmental context,t0_opportunity,,CD058,opportunity,source_only
EF0400,Study spatial scale,context_control,,CD058,opportunity,excluded
EF0401,Study sponsor identity,context_control,,CD023,context_control,source_only
EF0402,Study validity,t0_substantive,,CD033,sensitivity,excluded
EF0403,Subject-classification code,t0_substantive,,CD026,t0_potential,source_only
EF0404,Surgeon expertise and training,t0_substantive,,CD035,t0_potential,excluded
EF0405,Surgical innovation reporting,t0_substantive,,CD047,t0_potential,broad_t0_only
EF0406,Systematic-review methodological quality,t0_substantive,,CD060,t0_potential,excluded
EF0407,Systematic-review methodology,t0_substantive,,CD060,t0_potential,broad_t0_only
EF0408,Systematic-review methodology predictor,t0_substantive,,CD060,t0_potential,broad_t0_only
EF0409,Systematic-review quality,t0_substantive,,CD060,t0_potential,broad_t0_only
EF0410,Systematic-review reporting quality,t0_substantive,,CD060,t0_potential,broad_t0_only
EF0411,Systematic-review rigor,t0_substantive,,CD059,t0_potential,excluded
EF0412,Systematic-review risk of bias,t0_substantive,,CD060,t0_potential,excluded
EF0413,Teacher-education manuscript quality,t0_substantive,,CD025,t0_potential,excluded
EF0414,Team expertise,t0_substantive,,CD061,substantive_innovation,excluded
EF0415,Technique-description reporting,t0_substantive,,CD034,t0_potential,broad_t0_only
EF0416,Tenure-system context,t0_opportunity,control,CD041,context_control,excluded
EF0417,Tenure timing,t0_substantive,,CD017,context_control,excluded
EF0418,Theoretical perspective,context_control,,CD063,context_control,source_only
EF0419,Title length,t0_substantive,,CD062,t0_potential,source_only
EF0420,Title punctuation,t0_substantive,,CD062,t0_potential,source_only
EF0421,Title syntactic form,t0_substantive,,CD062,t0_potential,excluded
EF0422,Title writing quality,t0_substantive,,CD053,t0_potential,excluded
EF0423,Topic interdisciplinarity,direct_innovation,,CD028,sensitivity,excluded
EF0424,Topic interdisciplinarity measure,direct_innovation,,CD028,sensitivity,excluded
EF0425,Topic orientation,t0_substantive,,CD063,context_control,excluded
EF0426,Topic redundancy,t0_substantive,,CD064,t0_potential,broad_t0_only
EF0427,Topical diversity,direct_innovation,,CD029,substantive_innovation,source_only
EF0428,Trial-enrolment geography,t0_opportunity,,CD058,opportunity,source_only
EF0429,User-based evaluation practice,t0_substantive,,CD021,t0_potential,excluded
EF0430,Winner's-curse bias,t0_substantive,,CD011,sensitivity,excluded
EF0431,Writing clarity,t0_substantive,,CD053,t0_potential,excluded
EF0432,Writing-component frequency,t0_substantive,,CD053,t0_potential,source_only
